,statment,emotion,og filename,sex,filenames
0,3,anger,1001_DFA_ANG_XX.wav,Male,Clean Audio/Clip_0000.wav
1,3,disgust,1001_DFA_DIS_XX.wav,Male,Clean Audio/Clip_0001.wav
2,3,fear,1001_DFA_FEA_XX.wav,Male,Clean Audio/Clip_0002.wav
3,3,happy,1001_DFA_HAP_XX.wav,Male,Clean Audio/Clip_0003.wav
4,3,neutral,1001_DFA_NEU_XX.wav,Male,Clean Audio/Clip_0004.wav
5,3,sad,1001_DFA_SAD_XX.wav,Male,Clean Audio/Clip_0005.wav
6,4,anger,1001_IEO_ANG_HI.wav,Male,Clean Audio/Clip_0006.wav
7,4,anger,1001_IEO_ANG_LO.wav,Male,Clean Audio/Clip_0007.wav
8,4,anger,1001_IEO_ANG_MD.wav,Male,Clean Audio/Clip_0008.wav
9,4,disgust,1001_IEO_DIS_HI.wav,Male,Clean Audio/Clip_0009.wav
10,4,disgust,1001_IEO_DIS_LO.wav,Male,Clean Audio/Clip_0010.wav
11,4,disgust,1001_IEO_DIS_MD.wav,Male,Clean Audio/Clip_0011.wav
12,4,fear,1001_IEO_FEA_HI.wav,Male,Clean Audio/Clip_0012.wav
13,4,fear,1001_IEO_FEA_LO.wav,Male,Clean Audio/Clip_0013.wav
14,4,fear,1001_IEO_FEA_MD.wav,Male,Clean Audio/Clip_0014.wav
15,4,happy,1001_IEO_HAP_HI.wav,Male,Clean Audio/Clip_0015.wav
16,4,happy,1001_IEO_HAP_LO.wav,Male,Clean Audio/Clip_0016.wav
17,4,happy,1001_IEO_HAP_MD.wav,Male,Clean Audio/Clip_0017.wav
18,4,neutral,1001_IEO_NEU_XX.wav,Male,Clean Audio/Clip_0018.wav
19,4,sad,1001_IEO_SAD_HI.wav,Male,Clean Audio/Clip_0019.wav
20,4,sad,1001_IEO_SAD_LO.wav,Male,Clean Audio/Clip_0020.wav
21,4,sad,1001_IEO_SAD_MD.wav,Male,Clean Audio/Clip_0021.wav
22,5,anger,1001_IOM_ANG_XX.wav,Male,Clean Audio/Clip_0022.wav
23,5,disgust,1001_IOM_DIS_XX.wav,Male,Clean Audio/Clip_0023.wav
24,5,fear,1001_IOM_FEA_XX.wav,Male,Clean Audio/Clip_0024.wav
25,5,happy,1001_IOM_HAP_XX.wav,Male,Clean Audio/Clip_0025.wav
26,5,neutral,1001_IOM_NEU_XX.wav,Male,Clean Audio/Clip_0026.wav
27,5,sad,1001_IOM_SAD_XX.wav,Male,Clean Audio/Clip_0027.wav
28,6,anger,1001_ITH_ANG_XX.wav,Male,Clean Audio/Clip_0028.wav
29,6,disgust,1001_ITH_DIS_XX.wav,Male,Clean Audio/Clip_0029.wav
30,6,fear,1001_ITH_FEA_XX.wav,Male,Clean Audio/Clip_0030.wav
31,6,happy,1001_ITH_HAP_XX.wav,Male,Clean Audio/Clip_0031.wav
32,6,neutral,1001_ITH_NEU_XX.wav,Male,Clean Audio/Clip_0032.wav
33,6,sad,1001_ITH_SAD_XX.wav,Male,Clean Audio/Clip_0033.wav
34,7,anger,1001_ITS_ANG_XX.wav,Male,Clean Audio/Clip_0034.wav
35,7,disgust,1001_ITS_DIS_XX.wav,Male,Clean Audio/Clip_0035.wav
36,7,fear,1001_ITS_FEA_XX.wav,Male,Clean Audio/Clip_0036.wav
37,7,happy,1001_ITS_HAP_XX.wav,Male,Clean Audio/Clip_0037.wav
38,7,neutral,1001_ITS_NEU_XX.wav,Male,Clean Audio/Clip_0038.wav
39,7,sad,1001_ITS_SAD_XX.wav,Male,Clean Audio/Clip_0039.wav
40,8,anger,1001_IWL_ANG_XX.wav,Male,Clean Audio/Clip_0040.wav
41,8,disgust,1001_IWL_DIS_XX.wav,Male,Clean Audio/Clip_0041.wav
42,8,fear,1001_IWL_FEA_XX.wav,Male,Clean Audio/Clip_0042.wav
43,8,happy,1001_IWL_HAP_XX.wav,Male,Clean Audio/Clip_0043.wav
44,8,neutral,1001_IWL_NEU_XX.wav,Male,Clean Audio/Clip_0044.wav
45,8,sad,1001_IWL_SAD_XX.wav,Male,Clean Audio/Clip_0045.wav
46,9,anger,1001_IWW_ANG_XX.wav,Male,Clean Audio/Clip_0046.wav
47,9,disgust,1001_IWW_DIS_XX.wav,Male,Clean Audio/Clip_0047.wav
48,9,fear,1001_IWW_FEA_XX.wav,Male,Clean Audio/Clip_0048.wav
49,9,happy,1001_IWW_HAP_XX.wav,Male,Clean Audio/Clip_0049.wav
50,9,neutral,1001_IWW_NEU_XX.wav,Male,Clean Audio/Clip_0050.wav
51,9,sad,1001_IWW_SAD_XX.wav,Male,Clean Audio/Clip_0051.wav
52,10,anger,1001_MTI_ANG_XX.wav,Male,Clean Audio/Clip_0052.wav
53,10,disgust,1001_MTI_DIS_XX.wav,Male,Clean Audio/Clip_0053.wav
54,10,fear,1001_MTI_FEA_XX.wav,Male,Clean Audio/Clip_0054.wav
55,10,happy,1001_MTI_HAP_XX.wav,Male,Clean Audio/Clip_0055.wav
56,10,neutral,1001_MTI_NEU_XX.wav,Male,Clean Audio/Clip_0056.wav
57,10,sad,1001_MTI_SAD_XX.wav,Male,Clean Audio/Clip_0057.wav
58,11,anger,1001_TAI_ANG_XX.wav,Male,Clean Audio/Clip_0058.wav
59,11,disgust,1001_TAI_DIS_XX.wav,Male,Clean Audio/Clip_0059.wav
60,11,fear,1001_TAI_FEA_XX.wav,Male,Clean Audio/Clip_0060.wav
61,11,happy,1001_TAI_HAP_XX.wav,Male,Clean Audio/Clip_0061.wav
62,11,neutral,1001_TAI_NEU_XX.wav,Male,Clean Audio/Clip_0062.wav
63,11,sad,1001_TAI_SAD_XX.wav,Male,Clean Audio/Clip_0063.wav
64,12,anger,1001_TIE_ANG_XX.wav,Male,Clean Audio/Clip_0064.wav
65,12,disgust,1001_TIE_DIS_XX.wav,Male,Clean Audio/Clip_0065.wav
66,12,fear,1001_TIE_FEA_XX.wav,Male,Clean Audio/Clip_0066.wav
67,12,happy,1001_TIE_HAP_XX.wav,Male,Clean Audio/Clip_0067.wav
68,12,neutral,1001_TIE_NEU_XX.wav,Male,Clean Audio/Clip_0068.wav
69,12,sad,1001_TIE_SAD_XX.wav,Male,Clean Audio/Clip_0069.wav
70,13,anger,1001_TSI_ANG_XX.wav,Male,Clean Audio/Clip_0070.wav
71,13,disgust,1001_TSI_DIS_XX.wav,Male,Clean Audio/Clip_0071.wav
72,13,fear,1001_TSI_FEA_XX.wav,Male,Clean Audio/Clip_0072.wav
73,13,happy,1001_TSI_HAP_XX.wav,Male,Clean Audio/Clip_0073.wav
74,13,neutral,1001_TSI_NEU_XX.wav,Male,Clean Audio/Clip_0074.wav
75,13,sad,1001_TSI_SAD_XX.wav,Male,Clean Audio/Clip_0075.wav
76,14,anger,1001_WSI_ANG_XX.wav,Male,Clean Audio/Clip_0076.wav
77,14,disgust,1001_WSI_DIS_XX.wav,Male,Clean Audio/Clip_0077.wav
78,14,fear,1001_WSI_FEA_XX.wav,Male,Clean Audio/Clip_0078.wav
79,14,happy,1001_WSI_HAP_XX.wav,Male,Clean Audio/Clip_0079.wav
80,14,neutral,1001_WSI_NEU_XX.wav,Male,Clean Audio/Clip_0080.wav
81,14,sad,1001_WSI_SAD_XX.wav,Male,Clean Audio/Clip_0081.wav
82,3,anger,1002_DFA_ANG_XX.wav,Female,Clean Audio/Clip_0082.wav
83,3,disgust,1002_DFA_DIS_XX.wav,Female,Clean Audio/Clip_0083.wav
84,3,fear,1002_DFA_FEA_XX.wav,Female,Clean Audio/Clip_0084.wav
85,3,happy,1002_DFA_HAP_XX.wav,Female,Clean Audio/Clip_0085.wav
86,3,neutral,1002_DFA_NEU_XX.wav,Female,Clean Audio/Clip_0086.wav
87,3,sad,1002_DFA_SAD_XX.wav,Female,Clean Audio/Clip_0087.wav
88,4,anger,1002_IEO_ANG_HI.wav,Female,Clean Audio/Clip_0088.wav
89,4,anger,1002_IEO_ANG_LO.wav,Female,Clean Audio/Clip_0089.wav
90,4,anger,1002_IEO_ANG_MD.wav,Female,Clean Audio/Clip_0090.wav
91,4,disgust,1002_IEO_DIS_HI.wav,Female,Clean Audio/Clip_0091.wav
92,4,disgust,1002_IEO_DIS_LO.wav,Female,Clean Audio/Clip_0092.wav
93,4,disgust,1002_IEO_DIS_MD.wav,Female,Clean Audio/Clip_0093.wav
94,4,fear,1002_IEO_FEA_HI.wav,Female,Clean Audio/Clip_0094.wav
95,4,fear,1002_IEO_FEA_LO.wav,Female,Clean Audio/Clip_0095.wav
96,4,fear,1002_IEO_FEA_MD.wav,Female,Clean Audio/Clip_0096.wav
97,4,happy,1002_IEO_HAP_HI.wav,Female,Clean Audio/Clip_0097.wav
98,4,happy,1002_IEO_HAP_LO.wav,Female,Clean Audio/Clip_0098.wav
99,4,happy,1002_IEO_HAP_MD.wav,Female,Clean Audio/Clip_0099.wav
100,4,neutral,1002_IEO_NEU_XX.wav,Female,Clean Audio/Clip_0100.wav
101,4,sad,1002_IEO_SAD_HI.wav,Female,Clean Audio/Clip_0101.wav
102,4,sad,1002_IEO_SAD_LO.wav,Female,Clean Audio/Clip_0102.wav
103,4,sad,1002_IEO_SAD_MD.wav,Female,Clean Audio/Clip_0103.wav
104,5,anger,1002_IOM_ANG_XX.wav,Female,Clean Audio/Clip_0104.wav
105,5,disgust,1002_IOM_DIS_XX.wav,Female,Clean Audio/Clip_0105.wav
106,5,fear,1002_IOM_FEA_XX.wav,Female,Clean Audio/Clip_0106.wav
107,5,happy,1002_IOM_HAP_XX.wav,Female,Clean Audio/Clip_0107.wav
108,5,neutral,1002_IOM_NEU_XX.wav,Female,Clean Audio/Clip_0108.wav
109,5,sad,1002_IOM_SAD_XX.wav,Female,Clean Audio/Clip_0109.wav
110,6,anger,1002_ITH_ANG_XX.wav,Female,Clean Audio/Clip_0110.wav
111,6,disgust,1002_ITH_DIS_XX.wav,Female,Clean Audio/Clip_0111.wav
112,6,fear,1002_ITH_FEA_XX.wav,Female,Clean Audio/Clip_0112.wav
113,6,happy,1002_ITH_HAP_XX.wav,Female,Clean Audio/Clip_0113.wav
114,6,neutral,1002_ITH_NEU_XX.wav,Female,Clean Audio/Clip_0114.wav
115,6,sad,1002_ITH_SAD_XX.wav,Female,Clean Audio/Clip_0115.wav
116,7,anger,1002_ITS_ANG_XX.wav,Female,Clean Audio/Clip_0116.wav
117,7,disgust,1002_ITS_DIS_XX.wav,Female,Clean Audio/Clip_0117.wav
118,7,fear,1002_ITS_FEA_XX.wav,Female,Clean Audio/Clip_0118.wav
119,7,happy,1002_ITS_HAP_XX.wav,Female,Clean Audio/Clip_0119.wav
120,7,neutral,1002_ITS_NEU_XX.wav,Female,Clean Audio/Clip_0120.wav
121,7,sad,1002_ITS_SAD_XX.wav,Female,Clean Audio/Clip_0121.wav
122,8,anger,1002_IWL_ANG_XX.wav,Female,Clean Audio/Clip_0122.wav
123,8,disgust,1002_IWL_DIS_XX.wav,Female,Clean Audio/Clip_0123.wav
124,8,fear,1002_IWL_FEA_XX.wav,Female,Clean Audio/Clip_0124.wav
125,8,happy,1002_IWL_HAP_XX.wav,Female,Clean Audio/Clip_0125.wav
126,8,neutral,1002_IWL_NEU_XX.wav,Female,Clean Audio/Clip_0126.wav
127,8,sad,1002_IWL_SAD_XX.wav,Female,Clean Audio/Clip_0127.wav
128,9,anger,1002_IWW_ANG_XX.wav,Female,Clean Audio/Clip_0128.wav
129,9,disgust,1002_IWW_DIS_XX.wav,Female,Clean Audio/Clip_0129.wav
130,9,fear,1002_IWW_FEA_XX.wav,Female,Clean Audio/Clip_0130.wav
